size(byte),cam_time_sent,edge_time_arv,edge_time_sent,telegram_time_arv43986,13:25:57,13:25:56,13:25:57,13:25:59
44696,13:25:59,13:25:59,13:25:59,13:26:01
44979,13:26:02,13:26:02,13:26:02,13:26:04
45355,13:26:19,13:26:19,13:26:19,13:26:21
45220,13:26:29,13:26:28,13:26:29,13:26:31
43506,13:26:33,13:26:32,13:26:32,13:26:35
43136,13:26:34,13:26:35,13:26:35,13:26:37
43369,13:26:41,13:26:40,13:26:40,13:26:42
43195,13:26:42,13:26:42,13:26:42,13:26:44
44641,13:26:54,13:26:54,13:26:54,13:26:56
44699,13:26:56,13:26:56,13:26:56,13:26:58
44282,13:27:22,13:27:22,13:27:22,13:27:24
44178,13:27:24,13:27:24,13:27:24,13:27:26
43494,13:27:27,13:27:26,13:27:27,13:27:28
44165,13:27:30,13:27:29,13:27:29,13:27:31
44739,13:27:35,13:27:34,13:27:35,13:27:37
44306,13:27:39,13:27:40,13:27:40,13:27:42
44279,13:27:41,13:27:42,13:27:43,13:27:44
43515,13:27:48,13:27:47,13:27:47,13:27:49
44030,13:27:50,13:27:49,13:27:50,13:27:51
43867,13:27:53,13:27:53,13:27:53,13:27:55
43167,13:27:58,13:27:59,13:27:59,13:28:01
43856,13:28:00,13:28:01,13:28:01,13:28:03
43501,13:28:05,13:28:04,13:28:04,13:28:06
43216,13:28:21,13:28:20,13:28:20,13:28:22
42763,13:28:22,13:28:22,13:28:22,13:28:24
43033,13:28:31,13:28:30,13:28:31,13:28:32
42632,13:28:33,13:28:33,13:28:33,13:28:35
42052,13:28:39,13:28:38,13:28:38,13:28:40
42828,13:28:41,13:28:40,13:28:40,13:28:42
40791,13:30:08,13:30:08,13:30:09,13:30:11
40310,13:30:09,13:30:11,13:30:11,13:30:13
40473,13:30:17,13:30:19,13:30:20,13:30:21
40564,13:30:21,13:30:21,13:30:22,13:30:23
39906,13:31:01,13:31:02,13:31:02,13:31:04
40028,13:31:17,13:31:20,13:31:20,13:31:22
39452,13:32:23,13:32:24,13:32:24,13:32:26
38504,13:32:27,13:32:27,13:32:28,13:32:29
39239,13:32:29,13:32:29,13:32:30,13:32:31
39049,13:32:35,13:32:38,13:32:38,13:32:39
39031,13:32:44,13:32:44,13:32:45,13:32:46
38181,13:32:45,13:32:46,13:32:47,13:32:48
38395,13:32:57,13:32:57,13:32:57,13:32:59
39460,13:32:58,13:32:59,13:32:59,13:33:01
39361,13:33:05,13:33:06,13:33:06,13:33:08
39089,13:33:08,13:33:09,13:33:10,13:33:11
38772,13:33:16,13:33:17,13:33:17,13:33:19
40252,13:34:04,13:34:04,13:34:05,13:34:06
38940,13:34:09,13:34:10,13:34:10,13:34:12
39159,13:34:11,13:34:12,13:34:12,13:34:16
39188,13:34:23,13:34:24,13:34:24,13:34:26
39449,13:34:26,13:34:26,13:34:27,13:34:29
40231,13:34:32,13:34:32,13:34:33,13:34:35
40731,13:34:33,13:34:35,13:34:35,13:34:38
40840,13:34:41,13:34:42,13:34:42,13:34:44
41513,13:35:10,13:35:11,13:35:11,13:35:13
41640,13:35:39,13:35:40,13:35:40,13:35:42
40792,13:36:39,13:36:39,13:36:40,13:36:42
40701,13:37:00,13:37:00,13:37:01,13:37:02
